,Comp Group,Department,Roles/ Titles,Step & Level,"Annual Salary
USD",Salary Start Effective Date,Salary End Effective Date
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Program Coordinator,Design Associate",Associate - Step 1,"$70,000.00","Feb 01, 2022","June 30, 2025"
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Program Coordinator,Design Associate",Associate - Step 2,"$80,000.00","Feb 01, 2022","June 30, 2025"
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Strategist, Designer, Program Manager,Associate Strategist,Strategy Associate,Audio Producer,UX Designer",Staff - Step 1,"$90,000.00","Feb 01, 2022","June 30, 2025"
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Strategist, Designer, Program Manager,Associate Strategist,Strategy Associate,Audio Producer,UX Designer",Staff - Step 2,"$110,000.00","Feb 01, 2022","June 30, 2025"
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Senior Strategist, Senior Designer, Senior Program Manager,Senior Audio Producer,Senior UX Designer",Senior - Step 1,"$120,000.00","Feb 01, 2022","June 30, 2025"
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Senior Strategist, Senior Designer, Senior Program Manager,Senior Audio Producer,Senior UX Designer",Senior - Step 2,"$140,000.00","Feb 01, 2022","June 30, 2025"
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Creative Director,Creative Systems Technology Director,Creative Technology Director,Program Director,Program Director & Head of Program Management,Strategy Director,""Strategy Director, Market Growth, Middle East"",""Strategy Director, UAE"",User Experience Director",Director - Step 1,"$155,000.00","Feb 01, 2022","June 30, 2025"
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Creative Director,Creative Systems Technology Director,Creative Technology Director,Program Director,Program Director & Head of Program Management,Strategy Director,""Strategy Director, Market Growth, Middle East"",""Strategy Director, UAE"",User Experience Director",Director - Step 2,"$170,000.00","Feb 01, 2022","June 30, 2025"
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Creative Director,Creative Systems Technology Director,Creative Technology Director,Program Director,Program Director & Head of Program Management,Strategy Director,""Strategy Director, Market Growth, Middle East"",""Strategy Director, UAE"",User Experience Director",Director - Step 3,"$185,000.00","Feb 01, 2022","June 30, 2025"
,Core Consulting,Principal,"Principal,""Principal & Head of Design Team"",""Principal, Design"",""Principal, Head of Strategy/VP, People Strategy and Consulting Enablement"",""Principal, Program Management"",""Principal, Strategy"",""VP, Business Operations & Head of Program Management Team""",Principal/VP - Step 1,"$205,000.00","Feb 01, 2022","June 30, 2025"
,Core Consulting,Principal,"Principal,""Principal & Head of Design Team"",""Principal, Design"",""Principal, Head of Strategy/VP, People Strategy and Consulting Enablement"",""Principal, Program Management"",""Principal, Strategy"",""VP, Business Operations & Head of Program Management Team""",Principal/VP - Step 2,"$225,000.00","Feb 01, 2022","June 30, 2025"
,Core Consulting,Principal,"Principal,""Principal & Head of Design Team"",""Principal, Design"",""Principal, Head of Strategy/VP, People Strategy and Consulting Enablement"",""Principal, Program Management"",""Principal, Strategy"",""VP, Business Operations & Head of Program Management Team""",Principal/VP - Step 3,"$250,000.00","Feb 01, 2022","June 30, 2025"
,Core Consulting,Partner,"Partner,""
Partner, User Experience""",Partner/SVP - Step 1,"$250,000.00","Feb 01, 2022","June 30, 2025"
,Core Consulting,Partner,"Partner,""
Partner, User Experience""",Partner/SVP - Step 2,"$275,000.00","Feb 01, 2022","June 30, 2025"
,Core Consulting,Partner,"Partner,""
Partner, User Experience""",Partner/SVP - Step 3,"$300,000.00","Feb 01, 2022","June 30, 2025"
,Specialist Consulting,"Production,Studio,Studio Design",Production Design Associate,Associate - Step 1,"$60,000.00","Feb 01, 2022","June 30, 2025"
,Specialist Consulting,"Production,Studio,Studio Design",Production Design Associate,Associate - Step 2,"$70,000.00","Feb 01, 2022","June 30, 2025"
,Specialist Consulting,"Production,Studio,Studio Design","Studio Designer,Production Designer,Studio Manager",Staff - Step 1,"$80,000.00","Feb 01, 2022","June 30, 2025"
,Specialist Consulting,"Production,Studio,Studio Design","Studio Designer,Production Designer,Studio Manager",Staff - Step 2,"$90,000.00","Feb 01, 2022","June 30, 2025"
,Specialist Consulting,"Production,Studio,Studio Design","Senior Studio Designer,Senior Production Designer,Senior Studio Manager",Senior - Step 1,"$100,000.00","Feb 01, 2022","June 30, 2025"
,Specialist Consulting,"Production,Studio,Studio Design","Senior Studio Designer,Senior Production Designer,Senior Studio Manager",Senior - Step 2,"$120,000.00","Feb 01, 2022","June 30, 2025"
,Specialist Consulting,"Production,Studio,Studio Design","Studio Design Director,Production Design Director",Director - Step 1,"$140,000.00","Feb 01, 2022","June 30, 2025"
,Specialist Consulting,"Production,Studio,Studio Design","Studio Design Director,Production Design Director",Director - Step 2,"$155,000.00","Feb 01, 2022","June 30, 2025"
,Specialist Consulting,"Production,Studio,Studio Design","Studio Design Director,Production Design Director",Director - Step 3,"$170,000.00","Feb 01, 2022","June 30, 2025"
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Program Coordinator,Design Associate",Associate - Step 1,"$85,000.00","Jul 01, 2025",
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Program Coordinator,Design Associate",Associate - Step 2,"$90,000.00","Jul 01, 2025",
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Strategist, Designer, Program Manager,Associate Strategist,Strategy Associate,Audio Producer,UX Designer",Staff - Step 1,"$100,000.00","Jul 01, 2025",
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Strategist, Designer, Program Manager,Associate Strategist,Strategy Associate,Audio Producer,UX Designer",Staff - Step 2,"$112,000.00","Jul 01, 2025",
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Senior Strategist, Senior Designer, Senior Program Manager,Senior Audio Producer,Senior UX Designer",Senior - Step 1,"$125,000.00","Jul 01, 2025",
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Senior Strategist, Senior Designer, Senior Program Manager,Senior Audio Producer,Senior UX Designer",Senior - Step 2,"$142,000.00","Jul 01, 2025",
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Creative Director,Creative Systems Technology Director,Creative Technology Director,Program Director,Program Director & Head of Program Management,Strategy Director,""Strategy Director, Market Growth, Middle East"",""Strategy Director, UAE"",User Experience Director",Director - Step 1,"$160,000.00","Jul 01, 2025",
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Creative Director,Creative Systems Technology Director,Creative Technology Director,Program Director,Program Director & Head of Program Management,Strategy Director,""Strategy Director, Market Growth, Middle East"",""Strategy Director, UAE"",User Experience Director",Director - Step 2,"$180,000.00","Jul 01, 2025",
,Core Consulting,"Strategy, Design, Program Management, Studio, Tech","Creative Director,Creative Systems Technology Director,Creative Technology Director,Program Director,Program Director & Head of Program Management,Strategy Director,""Strategy Director, Market Growth, Middle East"",""Strategy Director, UAE"",User Experience Director",Director - Step 3,"$190,000.00","Jul 01, 2025",
,Core Consulting,Principal,"Principal,""Principal & Head of Design Team"",""Principal, Design"",""Principal, Head of Strategy/VP, People Strategy and Consulting Enablement"",""Principal, Program Management"",""Principal, Strategy"",""VP, Business Operations & Head of Program Management Team""",Principal/VP - Step 1,"$205,000.00","Jul 01, 2025",
,Core Consulting,Principal,"Principal,""Principal & Head of Design Team"",""Principal, Design"",""Principal, Head of Strategy/VP, People Strategy and Consulting Enablement"",""Principal, Program Management"",""Principal, Strategy"",""VP, Business Operations & Head of Program Management Team""",Principal/VP - Step 2,"$225,000.00","Jul 01, 2025",
,Core Consulting,Principal,"Principal,""Principal & Head of Design Team"",""Principal, Design"",""Principal, Head of Strategy/VP, People Strategy and Consulting Enablement"",""Principal, Program Management"",""Principal, Strategy"",""VP, Business Operations & Head of Program Management Team""",Principal/VP - Step 3,"$250,000.00","Jul 01, 2025",
,Core Consulting,Partner,"Partner,""
Partner, User Experience""",Partner/SVP - Step 1,"$250,000.00","Jul 01, 2025",
,Core Consulting,Partner,"Partner,""
Partner, User Experience""",Partner/SVP - Step 2,"$275,000.00","Jul 01, 2025",
,Core Consulting,Partner,"Partner,""
Partner, User Experience""",Partner/SVP - Step 3,"$300,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design",Production Design Associate,Associate - Step 1,"$70,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design",Production Design Associate,Associate - Step 2,"$75,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design","Studio Designer,Production Designer,Studio Manager",Staff - Step 1,"$80,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design","Studio Designer,Production Designer,Studio Manager",Staff - Step 2,"$90,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design","Senior Studio Designer,Senior Production Designer,Senior Studio Manager",Senior - Step 1,"$105,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design","Senior Studio Designer,Senior Production Designer,Senior Studio Manager",Senior - Step 2,"$120,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design","Studio Design Director,Production Design Director",Director - Step 1,"$145,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design","Studio Design Director,Production Design Director",Director - Step 2,"$160,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design","Studio Design Director,Production Design Director",Director - Step 3,"$175,000.00","Jul 01, 2025",